4200-418;41.1675834;-8.6085586
4200-417;41.1675834;-8.6085586
4350-254;41.1788562;-8.5738748
4300-361;41.1513965;-8.586102
4050-050;41.1434581;-8.6124826
4300-364;41.1510646;-8.5819136
4250-337;41.1688354;-8.6196742
4250-338;41.1688354;-8.6196742
4250-335;41.1688354;-8.6196742
4200-419;41.1791186;-8.5896568
4000-364;41.1600173;-8.5951125
4000-365;41.1600173;-8.5951125
4000-366;41.1600173;-8.5951125
4000-363;41.1600173;-8.5951125
4000-362;41.1600173;-8.5951125
4049-002;41.1600173;-8.5951125
4300-368;41.1454233;-8.5884211
4300-373;41.1462418;-8.5884553
4300-372;41.1462418;-8.5884553
4300-371;41.1462418;-8.5884553
4300-369;41.1462418;-8.5884553
4300-370;41.1462418;-8.5884553
4250-339;41.1809977;-8.6178183
4250-340;41.1809977;-8.6178183
4250-339;41.1809977;-8.6178183
4250-341;41.1708413;-8.6137012
4249-004;41.1718395;-8.6111619
4200-422;41.1718395;-8.6111619
4250-347;41.1694229;-8.6186293
4250-353;41.1694229;-8.6186293
4250-348;41.1694229;-8.6186293
4250-349;41.1694229;-8.6186293
4250-350;41.1694229;-8.6186293
4250-351;41.1694229;-8.6186293
4250-352;41.1694229;-8.6186293
4250-346;41.1694229;-8.6186293
4250-342;41.1694229;-8.6186293
4250-344;41.1694229;-8.6186293
4250-345;41.1694229;-8.6186293
4250-354;41.1694229;-8.6186293
4050-436;41.1643439;-8.6241406
4250-356;41.1643439;-8.6241406
4050-435;41.1643439;-8.6241406
4050-434;41.1643439;-8.6241406
4050-433;41.1643439;-8.6241406
4250-355;41.1643439;-8.6241406
4250-141;41.1741319;-8.6249939
4100-367;41.1623603;-8.6435831
4100-367;41.1623603;-8.6435831
4100-367;41.1623603;-8.6435831
4100-365;41.1623603;-8.6435831
4100-366;41.1623603;-8.6435831
4100-367;41.1623603;-8.6435831
4100-365;41.1623603;-8.6435831
4350-038;41.1714731;-8.5855533
4350-037;41.1714731;-8.5855533
4350-035;41.1714731;-8.5855533
4350-036;41.1714731;-8.5855533
4300-378;41.1491259;-8.5662785
4300-376;41.1491259;-8.5662785
4300-377;41.1491259;-8.5662785
4150-545;41.1488857;-8.6658659
4150-546;41.1483405;-8.6653933
4200-429;41.1626608;-8.5938809
4200-430;41.1626608;-8.5938809
4200-427;41.1626608;-8.5938809
4050-442;41.1610501;-8.6247327
4250-358;41.1610501;-8.6247327
4050-443;41.1610501;-8.6247327
4050-444;41.1610501;-8.6247327
4050-445;41.1610501;-8.6247327
4050-446;41.1610501;-8.6247327
4050-447;41.1610501;-8.6247327
4250-357;41.1610501;-8.6247327
4050-438;41.1610501;-8.6247327
4050-439;41.1610501;-8.6247327
4050-440;41.1610501;-8.6247327
4050-441;41.1610501;-8.6247327
4050-449;41.1492575;-8.6149357
4050-449;41.1492575;-8.6149357
4050-448;41.1492575;-8.6149357
4000-367;41.1482959;-8.6013053
4000-368;41.1477863;-8.6016246
4000-082;41.1539261;-8.6006466
4000-083;41.1539261;-8.6006466
